name,producer,director,music,DOB,credits,social
Kangana Ranaut,2,2,0,1987-3-20,38,Kangna Ranaut
Mammootty,6,6,4,1951-9-7,422,"Facebook,Instagram,Official Site,Twitter,YouTube channel"
Kader Khan,1,1,0,1937-12-11,418,0
Farhan Akhtar,28,28,8,1974-1-9,14,"Facebook,Twitter"
Farooq Shaikh,0,0,0,1948-3-25,76,0
Feroz Khan,9,9,0,1939-9-25,69,0
Dilip Kumar,1,1,2,1922-12-11,66,0
Deepti Naval,2,2,2,1952-2-3,115,Official Site
Dimple Kapadia,0,0,0,1957-6-8,91,0
Dev Anand,36,36,2,1923-9-26,117,0
Deepak Tijori,5,5,0,1961-8-28,57,0
Dharmendra,7,7,1,1935-12-8,317,0
Danny Denzongpa,1,1,5,1948-2-25,208,0
Darsheel Safary,0,0,0,1996-3-9,7,0
Chunky Pandey,0,0,2,1962-9-26,98,0
Binnu Dhillon,5,5,0,,65,0
Chiranjeevi,5,5,2,1955-8-22,191,0
Bharat Bhushan,1,1,0,1920-6-14,233,0
Boman Irani,0,0,4,1959-12-2,96,Comparing heights
Deepika Padukone,3,3,0,1986-1-5,37,"Facebook,Instagram,Official Site,Twitter"
Amole Gupte,3,3,2,,14,0
Balraj Sahni,0,0,0,1913-5-1,104,0
Amrish Puri,0,0,5,1932-6-22,303,0
Adil Hussain,1,1,0,,78,0
Anupam Kher,7,7,6,1955-3-7,426,Twitter
Annu Kapoor,0,0,2,1956-2-20,93,0
Atul Kulkarni,2,2,0,1965-9-10,104,Official Site
Ashish Vidyarthi,0,0,0,1962-6-19,241,0
Anushka Shetty,0,0,0,1981-11-7,53,Official Facebook
Asrani,1,1,1,1941-1-1,439,0
Akshaye Khanna,0,0,1,1975-3-28,40,0
Anil Kapoor,10,10,4,1956-12-24,132,"Brief overview about Anil Kapoor,Official Site of Anil Kapoor,Twitter"
Arshad Warsi,1,1,2,1968-4-19,64,0
Abhay Deol,3,3,1,1976-3-15,27,0
Amol Palekar,2,2,0,1944-11-24,57,0
Amjad Khan,0,0,2,1940-11-12,217,0
Ayushmann Khurrana,0,0,9,1984-9-14,22,"Official Facebook,Official Instagram,Official Twitter"
Aruna Irani,6,6,0,1946-8-18,546,0
Amitabh Bachchan,8,8,34,1942-10-11,235,"Facebook,Instagram,Tumblr,Twitter"
Akshay Kumar,7,7,4,1967-9-9,150,"Facebook,Google+,Instagram,Netflckers - Akshay Kumar (Khiladi),Twitter,YouTube channel"
Ajay Devgn,17,17,4,1969-4-2,123,Official Facebook
